player_id,name,position,rookie,jerseyNumber,teamCode,GP,GWG,G,S,Sh%,A,PTS,PTS/GP,+/-,PIM,PIM/GP,PPG,PPA,SHG,SHA,SG,rank,lastName,firstName,playerName,teamId,teamLogo,season,league,seasonName,seasonStartYear,seasonEndYear,scraped_at
19517,"Massé, Maxim",RW,0,7,Chi,63,8,51,257,19.8,51,102,1.62,62,40,0.63,16,13,0,0,0,1,Massé,Maxim,"Massé, Maxim",10,https://assets.leaguestat.com/lhjmq/logos/10.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
20174,"Veilleux, Philippe",LW,0,44,VdO,64,5,43,256,16.8,53,96,1.5,-11,10,0.16,9,22,1,0,1,2,Veilleux,Philippe,"Veilleux, Philippe",15,https://assets.leaguestat.com/lhjmq/logos/15.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
19113,"Verdon, Thomas",C,0,18,Rou,64,10,36,189,19,59,95,1.48,22,54,0.84,14,22,3,0,1,3,Verdon,Thomas,"Verdon, Thomas",11,https://assets.leaguestat.com/lhjmq/logos/50x50/11.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
19110,"Larose, Justin",LW,0,9,NFL,64,6,32,292,11,56,88,1.38,3,46,0.72,13,27,1,3,2,4,Larose,Justin,"Larose, Justin",2,https://assets.leaguestat.com/lhjmq/logos/2_211.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
19536,"Lacerte, Félix",RW,0,55,Sha,62,4,38,241,15.8,48,86,1.39,18,55,0.89,13,15,4,2,1,5,Lacerte,Félix,"Lacerte, Félix",13,https://assets.leaguestat.com/lhjmq/logos/13.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
21909,"Leek, Nathan",LW,0,24,Cha,63,7,47,231,20.3,37,84,1.33,3,84,1.33,13,11,1,0,0,6,Leek,Nathan,"Leek, Nathan",7,https://assets.leaguestat.com/lhjmq/logos/7.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
23769,"Shilov, Egor",C,1,9,Vic,63,5,32,173,18.5,50,82,1.3,-11,29,0.46,10,21,1,1,3,7,Shilov,Egor,"Shilov, Egor",17,https://assets.leaguestat.com/lhjmq/logos/17.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
23895,"Bleyl, Tommy",D,1,16,Mon,63,0,13,195,6.7,68,81,1.29,58,33,0.52,4,38,0,0,0,8,Bleyl,Tommy,"Bleyl, Tommy",1,https://assets.leaguestat.com/lhjmq/logos/1.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
19534,"Carbonneau, Justin",RW,0,8,BLB,60,8,51,304,16.8,29,80,1.33,31,64,1.07,15,10,1,0,0,9,Carbonneau,Justin,"Carbonneau, Justin",19,https://assets.leaguestat.com/lhjmq/logos/19.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
23770,"Vlasov, Alexey",LW,1,17,Vic,64,2,44,226,19.5,36,80,1.25,-22,40,0.63,16,17,0,0,2,10,Vlasov,Alexey,"Vlasov, Alexey",17,https://assets.leaguestat.com/lhjmq/logos/17.png,211,qmjhl,2025-26 | Regular Season,2025,2026,2026-07-26T18:37:31.662530+00:00
